No.,Organisation,Category,Athletes,Team Officials,Technical Officials,LOC Staff,Volunteers,Media,VIP/Guests,Service Staff
1,Team Algeria,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2,Team Angola,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3,Team Benin,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
4,Team Botswana,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5,Team Burkina Faso,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
6,Team Burundi,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
7,Team Cabo Verde,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,Team Cameroon,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
9,Team Central African Republic,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
10,Team Chad,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
11,Team Comoros,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
12,Team Congo,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
13,Team Congo (DRC),African Federation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
14,Team Côte d'Ivoire,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
15,Team Djibouti,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16,Team Egypt,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,Team Equatorial Guinea,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
18,Team Eritrea,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
19,Team Eswatini,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
20,Team Ethiopia,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
21,Team Gabon,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
22,Team Gambia,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
23,Team Ghana,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
24,Team Guinea,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
25,Team Guinea-Bissau,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
26,Team Kenya,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
27,Team Lesotho,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
28,Team Liberia,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
29,Team Libya,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
30,Team Madagascar,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
31,Team Malawi,Country Team,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
